Datas,Seul
10/04/2022,3084
10/05/2022,7670
10/06/2022,5518
10/07/2022,4317
10/08/2022,3959
10/09/2022,3550
10/10/2022,1494
10/11/2022,3052
10/12/2022,6797
10/13/2022,5249
10/14/2022,4831
10/15/2022,4576
10/16/2022,4186
10/17/2022,1916
10/18/2022,7526
10/19/2022,5894
10/20/2022,5413
10/21/2022,5055
10/22/2022,6012
10/23/2022,5170
10/24/2022,2434
10/25/2022,10057
10/26/2022,7903
10/27/2022,6847
10/28/2022,7478
10/29/2022,7573
10/30/2022,6704
10/31/2022,3099
11/01/2022,13015
11/02/2022,10934
11/03/2022,9543
11/04/2022,8674
11/05/2022,8100
11/06/2022,7160
11/07/2022,3319
11/08/2022,14157
11/09/2022,12480
11/10/2022,11070
11/11/2022,10898
11/12/2022,10830
11/13/2022,9257
11/14/2022,3646
11/15/2022,15538
11/16/2022,12477
11/17/2022,10842
11/18/2022,9737
11/19/2022,10123
11/20/2022,8801
11/21/2022,3823
11/22/2022,15612
11/23/2022,13496
11/24/2022,11452
11/25/2022,10684
11/26/2022,10161
11/27/2022,9160
11/28/2022,3794
11/29/2022,15501
11/30/2022,12290
12/01/2022,11034
12/02/2022,10487
