Datas,Nord
2022/08/19,565.0
2022/08/20,407.0
2022/08/21,210.0
2022/08/22,870.0
2022/08/23,672.0
2022/08/24,584.0
2022/08/25,537.0
2022/08/26,504.0
2022/08/27,428.0
2022/08/28,203.0
2022/08/29,838.0
2022/08/30,638.0
2022/08/31,535.0
2022/09/01,480.0
2022/09/02,440.0
2022/09/03,427.0
2022/09/04,157.0
2022/09/05,940.0
2022/09/06,698.0
2022/09/07,751.0
2022/09/08,668.0
2022/09/09,773.0
2022/09/10,603.0
2022/09/11,401.0
2022/09/12,1650.0
2022/09/13,1273.0
2022/09/14,1264.0
2022/09/15,1255.0
2022/09/16,1116.0
2022/09/17,908.0
2022/09/18,338.0
2022/09/19,2206.0
2022/09/20,1640.0
2022/09/21,1675.0
2022/09/22,1528.0
2022/09/23,1563.0
2022/09/24,1194.0
2022/09/25,493.0
2022/09/26,2969.0
2022/09/27,1948.0
2022/09/28,2158.0
2022/09/29,1862.0
2022/09/30,1740.0
2022/10/01,1348.0
2022/10/02,472.0
2022/10/03,3258.0
2022/10/04,2347.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
