Datas,Marne
2022/05/26,26.0
2022/05/27,201.0
2022/05/28,125.0
2022/05/29,20.0
2022/05/30,287.0
2022/05/31,201.0
2022/06/01,211.0
2022/06/02,168.0
2022/06/03,158.0
2022/06/04,160.0
2022/06/05,27.0
2022/06/06,56.0
2022/06/07,387.0
2022/06/08,276.0
2022/06/09,281.0
2022/06/10,223.0
2022/06/11,211.0
2022/06/12,23.0
2022/06/13,400.0
2022/06/14,325.0
2022/06/15,331.0
2022/06/16,321.0
2022/06/17,328.0
2022/06/18,229.0
2022/06/19,45.0
2022/06/20,651.0
2022/06/21,486.0
2022/06/22,545.0
2022/06/23,513.0
2022/06/24,509.0
2022/06/25,449.0
2022/06/26,49.0
2022/06/27,1058.0
2022/06/28,854.0
2022/06/29,989.0
2022/06/30,927.0
2022/07/01,892.0
2022/07/02,687.0
2022/07/03,146.0
2022/07/04,1816.0
2022/07/05,1233.0
2022/07/06,1264.0
2022/07/07,1194.0
2022/07/08,1015.0
2022/07/09,782.0
2022/07/10,130.0
2022/07/11,1628.0
2022/07/12,1058.0
2022/07/13,961.0
2022/07/14,104.0
2022/07/15,1008.0
2022/07/16,573.0
2022/07/17,96.0
2022/07/18,1127.0
2022/07/19,595.0
2022/07/20,650.0
2022/07/21,577.0
2022/07/22,558.0
2022/07/23,349.0
2022/07/24,73.0
2022/07/25,660.0
2022/07/26,403.0
2022/07/27,372.0
2022/07/28,296.0
2022/07/29,294.0
2022/07/30,219.0
2022/07/31,23.0
2022/08/01,420.0
2022/08/02,233.0
2022/08/03,215.0
2022/08/04,206.0
2022/08/05,195.0
2022/08/06,118.0
2022/08/07,21.0
2022/08/08,265.0
2022/08/09,162.0
2022/08/10,177.0
2022/08/11,157.0
2022/08/12,121.0
2022/08/13,109.0
2022/08/14,29.0
2022/08/15,47.0
2022/08/16,251.0
2022/08/17,168.0
2022/08/18,125.0
2022/08/19,132.0
2022/08/20,89.0
2022/08/21,24.0
2022/08/22,190.0
2022/08/23,130.0
2022/08/24,123.0
2022/08/25,110.0
2022/08/26,96.0
2022/08/27,90.0
2022/08/28,17.0
2022/08/29,193.0
2022/08/30,129.0
2022/08/31,122.0
2022/09/01,102.0
2022/09/02,109.0
2022/09/03,102.0
2022/09/04,11.0
2022/09/05,210.0
2022/09/06,170.0
2022/09/07,164.0
2022/09/08,197.0
2022/09/09,191.0
2022/09/10,167.0
2022/09/11,27.0
2022/09/12,448.0
2022/09/13,383.0
2022/09/14,379.0
2022/09/15,348.0
2022/09/16,352.0
2022/09/17,243.0
2022/09/18,49.0
2022/09/19,616.0
2022/09/20,433.0
2022/09/21,419.0
2022/09/22,402.0
2022/09/23,414.0
2022/09/24,276.0
2022/09/25,68.0
2022/09/26,836.0
2022/09/27,504.0
2022/09/28,516.0
2022/09/29,472.0
2022/09/30,454.0
2022/10/01,336.0
2022/10/02,59.0
2022/10/03,809.0
2022/10/04,642.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
