Datas,Hauts-de-Seine
2022/06/13,2508.0
2022/06/14,1797.0
2022/06/15,1979.0
2022/06/16,1931.0
2022/06/17,1856.0
2022/06/18,1566.0
2022/06/19,526.0
2022/06/20,3798.0
2022/06/21,2767.0
2022/06/22,2895.0
2022/06/23,2845.0
2022/06/24,2853.0
2022/06/25,2417.0
2022/06/26,749.0
2022/06/27,5148.0
2022/06/28,3865.0
2022/06/29,4144.0
2022/06/30,3564.0
2022/07/01,3679.0
2022/07/02,2985.0
2022/07/03,950.0
2022/07/04,6026.0
2022/07/05,4005.0
2022/07/06,3968.0
2022/07/07,3416.0
2022/07/08,3212.0
2022/07/09,2377.0
2022/07/10,648.0
2022/07/11,4301.0
2022/07/12,2600.0
2022/07/13,2420.0
2022/07/14,534.0
2022/07/15,2188.0
2022/07/16,1317.0
2022/07/17,428.0
2022/07/18,2373.0
2022/07/19,1438.0
2022/07/20,1384.0
2022/07/21,1281.0
2022/07/22,1201.0
2022/07/23,869.0
2022/07/24,231.0
2022/07/25,1468.0
2022/07/26,907.0
2022/07/27,851.0
2022/07/28,713.0
2022/07/29,668.0
2022/07/30,526.0
2022/07/31,162.0
2022/08/01,866.0
2022/08/02,576.0
2022/08/03,526.0
2022/08/04,444.0
2022/08/05,402.0
2022/08/06,303.0
2022/08/07,102.0
2022/08/08,494.0
2022/08/09,360.0
2022/08/10,325.0
2022/08/11,311.0
2022/08/12,328.0
2022/08/13,222.0
2022/08/14,83.0
2022/08/15,118.0
2022/08/16,513.0
2022/08/17,293.0
2022/08/18,278.0
2022/08/19,286.0
2022/08/20,196.0
2022/08/21,75.0
2022/08/22,499.0
2022/08/23,340.0
2022/08/24,298.0
2022/08/25,231.0
2022/08/26,272.0
2022/08/27,208.0
2022/08/28,65.0
2022/08/29,422.0
2022/08/30,276.0
2022/08/31,313.0
2022/09/01,266.0
2022/09/02,251.0
2022/09/03,230.0
2022/09/04,77.0
2022/09/05,441.0
2022/09/06,306.0
2022/09/07,314.0
2022/09/08,300.0
2022/09/09,281.0
2022/09/10,282.0
2022/09/11,84.0
2022/09/12,589.0
2022/09/13,503.0
2022/09/14,533.0
2022/09/15,516.0
2022/09/16,463.0
2022/09/17,386.0
2022/09/18,90.0
2022/09/19,856.0
2022/09/20,619.0
2022/09/21,662.0
2022/09/22,564.0
2022/09/23,699.0
2022/09/24,636.0
2022/09/25,204.0
2022/09/26,1422.0
2022/09/27,966.0
2022/09/28,981.0
2022/09/29,927.0
2022/09/30,904.0
2022/10/01,809.0
2022/10/02,225.0
2022/10/03,1801.0
2022/10/04,1180.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
